player_name,team_abbr,pos,age,G,GS,MP,FG%,3P%,FT%,TRB,AST,STL,BLK,TOV,PTS,PER,TS%,USG%,WS,WS/48,BPM,VORP,salary,team_name,wins,losses,Win_PCT,home_record,road_record,conference,overall_rank,ws_per_million
Cam Thomas,BRK,SG,23.0,25.0,23.0,31.2,0.438,0.349,0.881,3.3,3.8,0.6,0.1,2.5,24.0,18.0,0.575,32.6,1.2,0.071,0.3,0.5,4041249,Brooklyn Nets,26,56,0.317,12-29,14-27,East,25,0.29693790211887466
Tyler Herro,MIA,SG,25.0,77.0,77.0,35.4,0.472,0.375,0.878,5.2,5.5,0.9,0.2,2.6,23.9,19.7,0.605,28.0,7.4,0.131,3.1,3.5,29000000,Miami Heat,37,45,0.451,19-22,17-23,East,20,0.25517241379310346
Joel Embiid,PHI,C,30.0,19.0,19.0,30.2,0.444,0.299,0.882,8.2,4.5,0.7,0.9,3.3,23.8,23.4,0.58,34.2,1.4,0.118,3.5,0.8,51415938,Philadelphia 76ers,24,58,0.293,12-29,12-29,East,26,0.027228911004210408
Ja Morant,MEM,PG,25.0,50.0,50.0,30.4,0.454,0.309,0.824,4.1,7.3,1.2,0.2,3.7,23.2,19.3,0.563,32.2,3.5,0.112,2.4,1.7,36725670,Memphis Grizzlies,48,34,0.585,26-15,22-19,West,11,0.09530118851473642
James Harden,LAC,PG,35.0,79.0,79.0,35.3,0.41,0.352,0.874,5.8,8.7,1.5,0.7,4.3,22.8,20.0,0.582,29.6,8.3,0.143,4.3,4.4,33653846,LA Clippers,50,32,0.61,30-11,20-21,West,6,0.24662857255601633
Jaylen Brown,BOS,SF,28.0,63.0,63.0,34.3,0.463,0.324,0.764,5.8,4.5,1.2,0.3,2.6,22.2,17.8,0.555,28.9,5.2,0.115,0.0,1.1,49205800,Boston Celtics,61,21,0.744,28-13,33-8,East,3,0.10567859886436151
DeMar DeRozan,SAC,SF,35.0,77.0,77.0,35.9,0.477,0.328,0.857,3.9,4.4,0.8,0.4,1.4,22.2,17.7,0.569,25.0,7.1,0.123,-0.1,1.3,23400000,Sacramento Kings,40,42,0.488,20-21,20-21,West,16,0.3034188034188034
Brandon Ingram,NOP,SF,27.0,18.0,18.0,33.1,0.465,0.374,0.855,5.6,5.2,0.9,0.6,3.8,22.2,16.0,0.56,30.2,0.0,0.001,-0.3,0.3,36016200,New Orleans Pelicans,21,61,0.256,14-27,7-34,West,27,0.0
Jaren Jackson Jr.,MEM,C,25.0,74.0,74.0,29.8,0.488,0.375,0.781,5.6,2.0,1.2,1.5,2.1,22.2,19.6,0.591,28.1,6.4,0.139,2.3,2.4,25257798,Memphis Grizzlies,48,34,0.585,26-15,22-19,West,11,0.2533870925723612
Norman Powell,LAC,SG,31.0,60.0,60.0,32.6,0.484,0.418,0.804,3.2,2.1,1.2,0.2,1.8,21.8,17.5,0.615,26.1,5.3,0.129,1.5,1.8,19241379,LA Clippers,50,32,0.61,30-11,20-21,West,6,0.27544803311654537
Jalen Williams,OKC,SG,23.0,69.0,69.0,32.4,0.484,0.365,0.789,5.3,5.1,1.6,0.7,2.2,21.6,20.3,0.573,27.5,7.8,0.168,4.0,3.4,4775760,Oklahoma City Thunder,68,14,0.829,35-6,32-8,West,1,1.6332479019046182
Kawhi Leonard,LAC,SF,33.0,37.0,37.0,31.9,0.498,0.411,0.81,5.9,3.1,1.6,0.5,1.9,21.5,20.5,0.589,27.7,3.5,0.141,3.1,1.5,49350000,LA Clippers,50,32,0.61,30-11,20-21,West,6,0.07092198581560283
Jamal Murray,DEN,PG,27.0,67.0,67.0,36.1,0.474,0.393,0.886,3.9,6.0,1.4,0.5,2.1,21.4,17.8,0.584,24.0,6.2,0.123,0.8,1.7,36016200,Denver Nuggets,50,32,0.61,26-15,24-17,West,6,0.17214475708153554
Trey Murphy III,NOP,SF,24.0,53.0,51.0,35.0,0.454,0.361,0.887,5.1,3.5,1.1,0.7,1.9,21.2,17.3,0.598,23.7,3.5,0.091,0.8,1.3,5159855,New Orleans Pelicans,21,61,0.256,14-27,7-34,West,27,0.6783136347823727
RJ Barrett,TOR,SF,24.0,58.0,58.0,32.2,0.468,0.35,0.63,6.3,5.4,0.8,0.3,2.8,21.1,16.5,0.547,28.7,2.4,0.061,0.6,1.2,25794643,Toronto Raptors,30,52,0.366,18-23,12-29,East,24,0.09304257477027303
CJ McCollum,NOP,PG,33.0,56.0,56.0,32.7,0.444,0.373,0.717,3.8,4.1,0.8,0.4,1.9,21.1,15.8,0.55,27.2,1.5,0.038,-1.4,0.3,33333333,New Orleans Pelicans,21,61,0.256,14-27,7-34,West,27,0.04500000045
Jalen Green,HOU,SG,22.0,82.0,82.0,32.9,0.423,0.354,0.813,4.6,3.4,0.9,0.3,2.5,21.0,15.1,0.544,27.3,5.1,0.092,0.5,1.7,12483048,Houston Rockets,52,30,0.634,29-12,23-17,West,4,0.4085540646803569
Brandon Miller,CHO,SF,22.0,27.0,27.0,34.2,0.403,0.355,0.861,4.9,3.6,1.1,0.7,2.8,21.0,14.0,0.54,27.7,0.4,0.023,0.0,0.4,11424600,Charlotte Hornets,19,63,0.232,12-29,7-34,East,28,0.035012166727937964
Darius Garland,CLE,PG,25.0,75.0,75.0,30.7,0.472,0.401,0.878,2.9,6.7,1.2,0.1,2.5,20.6,19.9,0.6,27.2,8.1,0.169,3.1,3.0,36725670,Cleveland Cavaliers,64,18,0.78,34-7,30-11,East,2,0.22055417913410427
Jordan Poole,WAS,SG,25.0,68.0,68.0,29.4,0.432,0.378,0.883,3.0,4.5,1.3,0.4,3.0,20.5,16.6,0.591,29.0,2.0,0.047,0.4,1.2,29651786,Washington Wizards,18,64,0.22,8-32,10-31,East,29,0.06744956273460222
Coby White,CHI,SG,24.0,74.0,73.0,33.1,0.453,0.37,0.902,3.7,4.5,0.9,0.2,2.4,20.4,15.5,0.601,24.4,4.5,0.088,-0.9,0.7,12000000,Chicago Bulls,39,43,0.476,18-23,21-20,East,18,0.375
Miles Bridges,CHO,PF,26.0,64.0,64.0,31.7,0.431,0.313,0.87,7.5,3.9,0.7,0.7,2.1,20.3,17.7,0.541,28.0,3.2,0.075,1.8,2.0,27173913,Charlotte Hornets,19,63,0.232,12-29,7-34,East,28,0.11776000018841601
Austin Reaves,LAL,SG,26.0,73.0,73.0,34.9,0.46,0.377,0.877,4.5,5.8,1.1,0.3,2.4,20.2,18.1,0.616,23.7,7.6,0.144,1.9,2.6,12976362,Los Angeles Lakers,50,32,0.61,31-10,19-22,West,6,0.5856803316676893
Pascal Siakam,IND,PF,30.0,78.0,78.0,32.7,0.519,0.389,0.734,6.9,3.4,0.9,0.5,1.4,20.2,19.2,0.599,24.2,7.5,0.142,1.7,2.4,42176000,Indiana Pacers,50,32,0.61,29-11,20-20,East,6,0.17782625189681334
Kristaps Porzingis,BOS,C,29.0,42.0,42.0,28.8,0.483,0.412,0.809,6.8,2.1,0.7,1.5,1.3,19.5,22.3,0.618,25.9,5.3,0.212,4.7,2.1,29268293,Boston Celtics,61,21,0.744,28-13,33-8,East,3,0.18108333137159724
Scottie Barnes,TOR,PF,23.0,65.0,65.0,32.8,0.446,0.271,0.755,7.7,5.8,1.4,1.0,2.8,19.3,17.8,0.523,27.0,3.5,0.078,2.4,2.3,10130980,Toronto Raptors,30,52,0.366,18-23,12-29,East,24,0.34547496885789925
