player_name,team_abbr,pos,age,G,GS,MP,FG%,3P%,FT%,TRB,AST,STL,BLK,TOV,PTS,PER,TS%,USG%,WS,WS/48,BPM,VORP,salary,team_name,wins,losses,Win_PCT,home_record,road_record,conference,overall_rank,ws_per_million
Naz Reid,MIN,C,25.0,80.0,17.0,27.5,0.462,0.379,0.776,6.0,2.3,0.7,0.9,1.4,14.2,15.8,0.577,21.5,5.7,0.125,1.6,2.0,13986432,Minnesota Timberwolves,49,33,0.598,25-16,24-17,West,10,0.4075378195096505
Dyson Daniels,ATL,SG,21.0,76.0,76.0,33.8,0.493,0.34,0.593,5.9,4.4,3.0,0.7,2.0,14.1,15.6,0.545,18.2,5.0,0.093,1.5,2.3,6059520,Atlanta Hawks,40,42,0.488,21-19,19-22,East,16,0.8251478664976764
Tre Mann,CHO,PG,23.0,13.0,0.0,24.5,0.435,0.4,0.905,2.9,3.0,0.5,0.3,1.9,14.1,13.3,0.537,26.0,0.1,0.019,-2.4,0.0,4908189,Charlotte Hornets,19,63,0.232,12-29,7-34,East,28,0.02037411354778718
Amen Thompson,HOU,SF,22.0,69.0,42.0,32.2,0.557,0.275,0.684,8.2,3.8,1.4,1.3,2.0,14.1,18.7,0.602,17.5,8.0,0.172,4.1,3.4,9249960,Houston Rockets,52,30,0.634,29-12,23-17,West,4,0.8648686048372102
Fred VanVleet,HOU,PG,30.0,60.0,60.0,35.2,0.378,0.345,0.81,3.7,5.6,1.6,0.4,1.5,14.1,12.8,0.515,17.7,5.2,0.119,0.9,1.5,42846615,Houston Rockets,52,30,0.634,29-12,23-17,West,4,0.12136314619019496
Dillon Brooks,HOU,SF,29.0,75.0,75.0,31.8,0.429,0.397,0.818,3.7,1.7,0.8,0.2,1.0,14.0,11.0,0.555,17.7,5.1,0.103,-1.4,0.4,22255493,Houston Rockets,52,30,0.634,29-12,23-17,West,4,0.22915690971213262
Klay Thompson,DAL,SF,34.0,72.0,72.0,27.3,0.412,0.391,0.905,3.4,2.0,0.7,0.4,1.2,14.0,12.9,0.552,21.8,1.8,0.045,-1.0,0.5,15873016,Dallas Mavericks,39,43,0.476,22-18,17-25,West,18,0.1133999990928
Bobby Portis,MIL,PF,29.0,49.0,7.0,25.4,0.466,0.365,0.836,8.4,2.1,0.7,0.5,1.2,13.9,17.7,0.542,24.1,2.7,0.106,0.2,0.7,12578286,Milwaukee Bucks,48,34,0.585,27-14,20-20,East,11,0.2146556375010077
Tobias Harris,DET,PF,32.0,73.0,73.0,31.6,0.477,0.345,0.861,5.9,2.2,1.0,0.8,1.2,13.7,13.9,0.571,17.6,5.2,0.108,0.1,1.2,25365854,Detroit Pistons,44,38,0.537,22-19,22-19,East,14,0.20499999724038467
Josh Hart,NYK,SG,29.0,77.0,77.0,37.6,0.525,0.333,0.776,9.6,5.9,1.5,0.4,2.1,13.6,16.5,0.611,15.3,9.2,0.153,2.8,3.6,18144000,New York Knicks,51,31,0.622,27-14,24-17,East,5,0.5070546737213404
Jarrett Allen,CLE,C,26.0,82.0,82.0,28.0,0.706,0.0,0.718,9.7,1.9,0.9,0.9,1.2,13.5,22.1,0.724,15.9,11.6,0.243,4.2,3.6,20000000,Cleveland Cavaliers,64,18,0.78,34-7,30-11,East,2,0.58
Onyeka Okongwu,ATL,C,24.0,74.0,40.0,27.9,0.567,0.324,0.759,8.9,2.3,0.9,0.9,1.2,13.4,19.0,0.634,17.3,7.2,0.168,1.3,1.7,14000000,Atlanta Hawks,40,42,0.488,21-19,19-22,East,16,0.5142857142857143
Russell Westbrook,DEN,PG,36.0,75.0,36.0,27.9,0.449,0.323,0.661,4.9,6.1,1.4,0.5,3.2,13.3,14.3,0.532,23.8,1.9,0.045,-1.1,0.5,3303771,Denver Nuggets,50,32,0.61,26-15,24-17,West,6,0.5751003928541052
Naji Marshall,DAL,SF,27.0,69.0,31.0,27.8,0.508,0.275,0.813,4.8,3.0,1.0,0.2,1.6,13.2,15.1,0.584,20.0,3.5,0.087,-0.8,0.6,8571429,Dallas Mavericks,39,43,0.476,22-18,17-25,West,18,0.4083333129166677
Rui Hachimura,LAL,PF,26.0,59.0,57.0,31.7,0.509,0.413,0.77,5.0,1.4,0.8,0.4,0.8,13.1,13.6,0.619,15.8,4.3,0.11,-0.7,0.6,17000000,Los Angeles Lakers,50,32,0.61,31-10,19-22,West,6,0.2529411764705882
Brook Lopez,MIL,C,36.0,80.0,80.0,31.8,0.509,0.373,0.826,5.0,1.8,0.6,1.9,1.1,13.0,14.8,0.624,15.8,6.6,0.124,0.8,1.8,23000000,Milwaukee Bucks,48,34,0.585,27-14,20-20,East,11,0.28695652173913044
Alex Sarr,WAS,C,19.0,67.0,67.0,27.1,0.394,0.308,0.679,6.5,2.4,0.7,1.5,1.7,13.0,12.9,0.482,23.5,-0.3,-0.007,-3.3,-0.6,11245680,Washington Wizards,18,64,0.22,8-32,10-31,East,29,-0.026676910600337195
Moritz Wagner,ORL,C,27.0,30.0,1.0,18.8,0.562,0.36,0.718,4.9,1.4,0.8,0.4,1.6,12.9,22.3,0.649,26.8,2.0,0.174,4.0,0.9,11000000,Orlando Magic,41,41,0.5,22-19,19-22,East,15,0.18181818181818182
Malcolm Brogdon,WAS,PG,32.0,24.0,13.0,23.5,0.433,0.286,0.88,3.8,4.1,0.5,0.2,1.6,12.7,15.8,0.544,23.7,0.7,0.061,-1.5,0.1,22500000,Washington Wizards,18,64,0.22,8-32,10-31,East,29,0.03111111111111111
Scoot Henderson,POR,PG,20.0,66.0,10.0,26.7,0.419,0.354,0.767,3.0,5.1,1.0,0.2,2.7,12.7,12.5,0.54,22.5,1.8,0.049,-2.2,-0.1,10259160,Portland Trail Blazers,36,46,0.439,22-19,14-27,West,21,0.17545296106113953
Keldon Johnson,SAS,SF,25.0,77.0,0.0,23.9,0.482,0.318,0.773,4.8,1.6,0.6,0.3,1.0,12.7,15.6,0.572,21.6,3.2,0.083,-1.6,0.2,19000000,San Antonio Spurs,34,48,0.415,20-20,13-27,West,23,0.16842105263157894
Zaccharie Risacher,ATL,SF,19.0,75.0,73.0,24.6,0.458,0.355,0.711,3.6,1.2,0.7,0.5,1.2,12.6,12.2,0.558,20.9,1.8,0.046,-3.5,-0.7,12569040,Atlanta Hawks,40,42,0.488,21-19,19-22,East,16,0.14320902789711865
Santi Aldama,MEM,PF,24.0,65.0,16.0,25.5,0.483,0.368,0.691,6.4,2.9,0.8,0.4,1.1,12.5,16.8,0.588,18.5,5.0,0.144,3.2,2.2,3960531,Memphis Grizzlies,48,34,0.585,26-15,22-19,West,11,1.262456978622311
Ty Jerome,CLE,SG,27.0,70.0,3.0,19.9,0.516,0.439,0.872,2.5,3.4,1.1,0.0,1.3,12.5,21.0,0.643,23.6,5.9,0.204,4.3,2.2,2560975,Cleveland Cavaliers,64,18,0.78,34-7,30-11,East,2,2.3038100723357315
Keegan Murray,SAC,PF,24.0,76.0,76.0,34.3,0.444,0.343,0.833,6.7,1.4,0.8,0.9,0.8,12.4,12.0,0.553,15.0,4.4,0.082,-1.6,0.2,8809560,Sacramento Kings,40,42,0.488,20-21,20-21,West,16,0.4994574076344336
Lonnie Walker IV,PHI,SG,26.0,20.0,7.0,23.9,0.42,0.354,0.8,3.2,2.5,0.5,0.3,1.3,12.4,13.1,0.548,22.8,0.3,0.033,-2.4,0.0,780932,Philadelphia 76ers,24,58,0.293,12-29,12-29,East,26,0.3841563670076268
Harrison Barnes,SAS,PF,32.0,82.0,82.0,27.2,0.508,0.433,0.809,3.8,1.7,0.5,0.2,0.6,12.3,14.9,0.656,15.7,5.6,0.12,0.0,1.2,18000000,San Antonio Spurs,34,48,0.415,20-20,13-27,West,23,0.3111111111111111
Bilal Coulibaly,WAS,SF,20.0,59.0,59.0,33.0,0.421,0.281,0.746,5.0,3.4,1.3,0.7,2.1,12.3,10.8,0.515,17.9,0.3,0.008,-3.7,-0.8,6945240,Washington Wizards,18,64,0.22,8-32,10-31,East,29,0.04319505157489158
Ayo Dosunmu,CHI,SG,25.0,46.0,26.0,30.3,0.492,0.328,0.785,3.5,4.5,0.9,0.4,1.5,12.3,12.8,0.585,16.6,2.5,0.087,-1.6,0.1,7000000,Chicago Bulls,39,43,0.476,18-23,21-20,East,18,0.35714285714285715
Daniel Gafford,DAL,C,26.0,57.0,31.0,21.5,0.702,,0.689,6.8,1.4,0.4,1.8,1.2,12.3,24.7,0.716,19.5,5.9,0.232,3.8,1.8,13394160,Dallas Mavericks,39,43,0.476,22-18,17-25,West,18,0.44049048241920363
Jaden McDaniels,MIN,PF,24.0,82.0,82.0,31.9,0.477,0.33,0.813,5.7,2.0,1.3,0.9,1.2,12.2,13.3,0.562,16.3,6.3,0.115,0.0,1.4,23017242,Minnesota Timberwolves,49,33,0.598,25-16,24-17,West,10,0.2737078577876533
Jabari Smith Jr.,HOU,PF,21.0,57.0,39.0,30.1,0.438,0.354,0.825,7.0,1.1,0.4,0.7,1.1,12.2,12.6,0.562,16.4,4.2,0.117,-0.7,0.6,9770880,Houston Rockets,52,30,0.634,29-12,23-17,West,4,0.4298486932599725
Drew Timme,BRK,PF,24.0,9.0,2.0,28.2,0.441,0.257,0.625,7.2,2.2,0.4,0.1,1.7,12.1,11.0,0.5,21.3,0.0,0.009,-6.7,-0.3,113055,Brooklyn Nets,26,56,0.317,12-29,14-27,East,25,0.0
Tari Eason,HOU,PF,23.0,57.0,16.0,24.9,0.487,0.342,0.76,6.4,1.5,1.7,0.9,1.1,12.0,18.5,0.567,19.4,5.0,0.169,3.6,2.0,3695160,Houston Rockets,52,30,0.634,29-12,23-17,West,4,1.3531213804003075
Rudy Gobert,MIN,C,32.0,72.0,72.0,33.2,0.669,,0.674,10.9,1.8,0.8,1.4,1.2,12.0,18.3,0.687,13.0,10.1,0.204,1.9,2.4,43827587,Minnesota Timberwolves,49,33,0.598,25-16,24-17,West,10,0.23044846160478785
Aaron Nesmith,IND,SF,25.0,45.0,37.0,24.9,0.507,0.431,0.913,4.0,1.2,0.8,0.4,0.8,12.0,14.6,0.653,17.4,2.9,0.126,-0.5,0.4,11000000,Indiana Pacers,50,32,0.61,29-11,20-20,East,6,0.2636363636363636
Aaron Wiggins,OKC,SG,26.0,76.0,26.0,22.9,0.488,0.383,0.831,3.9,1.8,0.8,0.2,0.9,12.0,16.1,0.596,20.3,5.4,0.148,1.1,1.4,10514017,Oklahoma City Thunder,68,14,0.829,35-6,32-8,West,1,0.5136000826325466
Jalen Duren,DET,C,21.0,78.0,78.0,26.1,0.692,,0.669,10.3,2.7,0.7,1.1,1.7,11.8,21.4,0.703,16.4,9.2,0.218,3.1,2.7,4536840,Detroit Pistons,44,38,0.537,22-19,22-19,East,14,2.0278431683727
Donte DiVincenzo,MIN,SG,28.0,62.0,10.0,25.9,0.422,0.397,0.778,3.7,3.6,1.2,0.3,1.6,11.7,14.1,0.582,19.4,3.9,0.115,1.9,1.6,11445000,Minnesota Timberwolves,49,33,0.598,25-16,24-17,West,10,0.34076015727391873
Brandin Podziemski,GSW,SG,21.0,64.0,33.0,26.8,0.445,0.372,0.758,5.1,3.4,1.1,0.2,1.2,11.7,14.4,0.557,18.3,4.2,0.117,0.7,1.2,3519960,Golden State Warriors,48,34,0.585,24-17,24-17,West,11,1.1931953772201958
Corey Kispert,WAS,SF,25.0,61.0,0.0,26.3,0.451,0.364,0.852,3.0,1.7,0.4,0.2,1.0,11.6,11.0,0.584,17.5,1.1,0.032,-3.7,-0.7,5705888,Washington Wizards,18,64,0.22,8-32,10-31,East,29,0.19278331435878168
Jeremy Sochan,SAS,PF,21.0,54.0,23.0,25.3,0.535,0.308,0.696,6.5,2.4,0.8,0.5,1.6,11.4,15.9,0.589,19.0,2.7,0.096,-1.2,0.3,5570040,San Antonio Spurs,34,48,0.415,20-20,13-27,West,23,0.4847361957903355
Toumani Camara,POR,PF,24.0,78.0,78.0,32.7,0.458,0.375,0.722,5.8,2.2,1.5,0.6,1.4,11.3,12.5,0.572,14.4,5.2,0.097,-0.1,1.2,1891857,Portland Trail Blazers,36,46,0.439,22-19,14-27,West,21,2.7486221210165462
Isaiah Hartenstein,OKC,C,26.0,57.0,53.0,27.9,0.581,0.0,0.675,10.7,3.8,0.8,1.1,1.7,11.2,18.9,0.599,16.7,6.8,0.205,3.2,2.1,30000000,Oklahoma City Thunder,68,14,0.829,35-6,32-8,West,1,0.22666666666666666
Buddy Hield,GSW,SG,32.0,82.0,22.0,22.7,0.417,0.37,0.828,3.2,1.6,0.8,0.3,1.1,11.1,12.3,0.56,20.5,2.8,0.073,-1.0,0.5,8780488,Golden State Warriors,48,34,0.585,24-17,24-17,West,11,0.31888888180246927
Jrue Holiday,BOS,PG,34.0,62.0,62.0,30.6,0.443,0.353,0.909,4.3,3.9,1.1,0.4,1.2,11.1,13.5,0.565,15.8,5.1,0.13,0.7,1.3,30000000,Boston Celtics,61,21,0.744,28-13,33-8,East,3,0.16999999999999998
Walker Kessler,UTA,C,23.0,58.0,58.0,30.0,0.663,0.176,0.52,12.2,1.7,0.6,2.4,1.5,11.1,20.0,0.66,13.7,5.4,0.149,1.8,1.7,2965920,Utah Jazz,17,65,0.207,10-31,7-34,West,30,1.8206829584075093
Gary Trent Jr.,MIL,SG,26.0,74.0,9.0,25.6,0.431,0.416,0.848,2.3,1.2,1.0,0.1,0.6,11.1,11.7,0.591,17.1,3.3,0.084,-1.6,0.2,2087519,Milwaukee Bucks,48,34,0.585,27-14,20-20,East,11,1.5808239350156812
Spencer Dinwiddie,DAL,PG,31.0,79.0,30.0,27.0,0.416,0.334,0.802,2.6,4.4,0.9,0.2,1.3,11.0,13.0,0.553,17.9,3.7,0.082,-1.6,0.2,2087519,Dallas Mavericks,39,43,0.476,22-18,17-25,West,18,1.7724389574418247
Tim Hardaway Jr.,DET,SG,32.0,77.0,77.0,28.0,0.406,0.368,0.855,2.4,1.6,0.5,0.1,0.6,11.0,9.8,0.567,15.5,3.5,0.077,-2.1,0.0,16193183,Detroit Pistons,44,38,0.537,22-19,22-19,East,14,0.21614033510274044
Duncan Robinson,MIA,SF,30.0,74.0,37.0,24.1,0.437,0.393,0.887,2.3,2.4,0.5,0.1,1.2,11.0,11.8,0.595,19.2,2.7,0.071,-1.7,0.1,19406000,Miami Heat,37,45,0.451,19-22,17-23,East,20,0.13913222714624346
Guerschon Yabusele,PHI,C,29.0,70.0,43.0,27.1,0.501,0.38,0.725,5.6,2.1,0.8,0.3,1.2,11.0,14.7,0.616,16.3,3.9,0.099,-1.0,0.5,2087519,Philadelphia 76ers,24,58,0.293,12-29,12-29,East,26,1.868246468654896
Brice Sensabaugh,UTA,SF,21.0,71.0,15.0,20.2,0.459,0.422,0.89,3.0,1.5,0.6,0.1,1.5,10.9,13.4,0.612,21.5,1.2,0.042,-1.2,0.3,2571480,Utah Jazz,17,65,0.207,10-31,7-34,West,30,0.4666573335199962
Jordan Hawkins,NOP,SG,22.0,56.0,9.0,23.6,0.372,0.331,0.816,2.8,1.2,0.5,0.4,1.0,10.8,9.6,0.504,21.0,-0.5,-0.02,-5.4,-1.2,4525680,New Orleans Pelicans,21,61,0.256,14-27,7-34,West,27,-0.1104806349543052
Nikola Jovic,MIA,PF,21.0,46.0,10.0,25.1,0.456,0.371,0.828,3.9,2.8,0.8,0.3,1.3,10.7,13.8,0.595,18.3,2.5,0.104,0.3,0.7,2464200,Miami Heat,37,45,0.451,19-22,17-23,East,20,1.0145280415550686
Grayson Allen,PHO,SG,29.0,64.0,7.0,24.1,0.448,0.426,0.816,3.0,2.1,0.8,0.3,1.2,10.6,13.7,0.631,17.6,2.5,0.079,-0.3,0.7,15625000,Phoenix Suns,36,46,0.439,24-17,12-29,West,21,0.16
Keon Johnson,BRK,SG,22.0,79.0,56.0,24.4,0.389,0.314,0.77,3.8,2.2,1.0,0.4,1.5,10.6,10.4,0.499,21.7,0.5,0.014,-3.3,-0.6,2162606,Brooklyn Nets,26,56,0.317,12-29,14-27,East,25,0.23120253989862233
Terry Rozier,MIA,PG,30.0,64.0,23.0,25.9,0.391,0.295,0.852,3.7,2.6,0.6,0.2,1.2,10.6,10.5,0.497,20.4,1.0,0.029,-3.7,-0.7,24924126,Miami Heat,37,45,0.451,19-22,17-23,East,20,0.040121767960890585
Obi Toppin,IND,PF,26.0,79.0,4.0,19.6,0.529,0.365,0.781,4.0,1.6,0.6,0.4,0.9,10.5,17.4,0.642,20.1,4.3,0.135,1.7,1.4,12946429,Indiana Pacers,50,32,0.61,29-11,20-20,East,6,0.33213792003957227
Ochai Agbaji,TOR,SG,24.0,64.0,45.0,27.2,0.498,0.399,0.708,3.8,1.5,0.9,0.5,0.8,10.4,12.0,0.601,14.6,3.1,0.087,-0.7,0.5,4310280,Toronto Raptors,30,52,0.366,18-23,12-29,East,24,0.7192108169306867
Jaylen Wells,MEM,SG,21.0,79.0,74.0,25.9,0.425,0.352,0.822,3.4,1.7,0.6,0.1,0.9,10.4,10.5,0.56,15.9,3.5,0.083,-2.2,-0.1,1157153,Memphis Grizzlies,48,34,0.585,26-15,22-19,West,11,3.024664845530366
Grant Williams,CHO,PF,26.0,16.0,7.0,29.9,0.439,0.365,0.838,5.1,2.3,1.1,0.8,1.8,10.4,11.5,0.596,14.8,0.7,0.071,-1.6,0.1,13025250,Charlotte Hornets,19,63,0.232,12-29,7-34,East,28,0.05374177079134757
Jose Alvarado,NOP,PG,26.0,56.0,23.0,24.4,0.392,0.359,0.811,2.4,4.6,1.3,0.3,1.5,10.3,13.4,0.523,19.8,1.2,0.043,-1.4,0.2,1988598,New Orleans Pelicans,21,61,0.256,14-27,7-34,West,27,0.6034402126523309
Nic Claxton,BRK,C,25.0,70.0,62.0,26.9,0.563,0.238,0.513,7.4,2.2,0.9,1.4,1.2,10.3,16.5,0.569,16.8,4.3,0.11,0.4,1.1,27556817,Brooklyn Nets,26,56,0.317,12-29,14-27,East,25,0.15604124380548015
Herbert Jones,NOP,SF,26.0,20.0,20.0,32.4,0.436,0.306,0.825,3.9,3.3,1.9,0.5,1.8,10.3,10.4,0.541,14.6,0.4,0.033,-3.6,-0.3,12976362,New Orleans Pelicans,21,61,0.256,14-27,7-34,West,27,0.03082528061408891
De'Anthony Melton,GSW,SG,26.0,6.0,2.0,20.2,0.407,0.371,0.625,3.3,2.8,1.2,0.3,1.7,10.3,13.3,0.539,23.5,0.2,0.076,-0.8,0.0,12822000,Golden State Warriors,48,34,0.585,24-17,24-17,West,11,0.015598190609889255
Isaiah Joe,OKC,SG,25.0,74.0,16.0,21.7,0.44,0.412,0.821,2.6,1.6,0.6,0.1,0.5,10.2,14.0,0.617,17.2,5.1,0.153,1.3,1.4,12991650,Oklahoma City Thunder,68,14,0.829,35-6,32-8,West,1,0.39255983651037396
Tyus Jones,PHO,PG,28.0,81.0,58.0,26.8,0.448,0.414,0.895,2.4,5.3,0.9,0.1,1.1,10.2,14.5,0.585,16.2,4.4,0.096,0.1,1.1,2087519,Phoenix Suns,36,46,0.439,24-17,12-29,West,21,2.1077652466875754
Trendon Watford,BRK,PF,24.0,44.0,6.0,20.8,0.469,0.33,0.762,3.6,2.6,0.6,0.3,1.9,10.2,13.0,0.557,23.3,0.7,0.038,-3.1,-0.3,2726603,Brooklyn Nets,26,56,0.317,12-29,14-27,East,25,0.25672971092601304
Luguentz Dort,OKC,SF,25.0,71.0,71.0,29.2,0.435,0.412,0.717,4.1,1.6,1.1,0.5,0.7,10.1,11.3,0.586,13.6,5.6,0.129,0.2,1.2,16500000,Oklahoma City Thunder,68,14,0.829,35-6,32-8,West,1,0.33939393939393936
Justin Edwards,PHI,SF,21.0,44.0,26.0,26.3,0.455,0.363,0.696,3.4,1.6,1.0,0.4,1.1,10.1,11.3,0.559,16.9,0.9,0.039,-3.7,-0.5,425619,Philadelphia 76ers,24,58,0.293,12-29,12-29,East,26,2.1145672538115075
Derrick Jones Jr.,LAC,SF,27.0,77.0,55.0,24.3,0.526,0.356,0.703,3.4,0.8,1.0,0.4,0.9,10.1,13.5,0.609,16.5,4.7,0.12,-0.3,0.8,9523810,LA Clippers,50,32,0.61,30-11,20-21,West,6,0.4934999753250013
Ausar Thompson,DET,SF,22.0,59.0,48.0,22.5,0.535,0.224,0.641,5.1,2.3,1.7,0.7,1.4,10.1,17.2,0.568,19.1,3.8,0.138,1.7,1.2,8376000,Detroit Pistons,44,38,0.537,22-19,22-19,East,14,0.45367717287488063
Chris Boucher,TOR,PF,32.0,50.0,0.0,17.2,0.492,0.363,0.782,4.5,0.7,0.5,0.5,0.6,10.0,18.7,0.615,21.2,2.7,0.148,2.3,0.9,10810000,Toronto Raptors,30,52,0.366,18-23,12-29,East,24,0.24976873265494912
Andrew Nembhard,IND,SG,25.0,65.0,65.0,28.9,0.458,0.291,0.794,3.3,5.0,1.2,0.2,1.7,10.0,11.7,0.545,16.3,2.8,0.071,-2.3,-0.1,2019699,Indiana Pacers,50,32,0.61,29-11,20-20,East,6,1.3863451930213362
Ziaire Williams,BRK,SF,23.0,63.0,45.0,24.5,0.412,0.341,0.821,4.6,1.3,1.0,0.4,1.1,10.0,11.9,0.55,18.2,2.1,0.065,-2.3,-0.1,6133005,Brooklyn Nets,26,56,0.317,12-29,14-27,East,25,0.3424096344287996
Julian Champagnie,SAS,SF,23.0,82.0,29.0,23.6,0.415,0.371,0.904,3.9,1.4,0.7,0.4,0.9,9.9,12.2,0.577,17.2,2.5,0.062,-1.3,0.4,3000000,San Antonio Spurs,34,48,0.415,20-20,13-27,West,23,0.8333333333333334
Scotty Pippen Jr.,MEM,PG,24.0,79.0,21.0,21.3,0.48,0.397,0.713,3.3,4.4,1.3,0.4,1.7,9.9,15.8,0.582,19.3,4.7,0.133,1.9,1.7,2087519,Memphis Grizzlies,48,34,0.585,26-15,22-19,West,11,2.251476513507183
Nick Smith Jr.,CHO,SG,20.0,60.0,27.0,22.8,0.391,0.34,0.935,2.1,2.4,0.3,0.1,1.4,9.9,8.3,0.502,20.8,-0.5,-0.019,-5.7,-1.3,2587200,Charlotte Hornets,19,63,0.232,12-29,7-34,East,28,-0.19325912183055038
Bub Carrington,WAS,PG,19.0,82.0,57.0,30.0,0.401,0.339,0.812,4.2,4.4,0.7,0.3,1.7,9.8,9.0,0.514,15.8,0.2,0.005,-4.6,-1.6,4454880,Washington Wizards,18,64,0.22,8-32,10-31,East,29,0.044894587508529975
Moses Moody,GSW,SG,22.0,74.0,34.0,22.3,0.433,0.374,0.797,2.6,1.3,0.8,0.4,0.7,9.8,12.4,0.578,17.4,3.5,0.102,-0.9,0.5,5803269,Golden State Warriors,48,34,0.585,24-17,24-17,West,11,0.6031083515170501
Amir Coffey,LAC,SG,27.0,72.0,13.0,24.3,0.471,0.409,0.891,2.2,1.1,0.6,0.1,0.6,9.7,11.2,0.614,15.3,4.0,0.111,-1.7,0.1,3938271,LA Clippers,50,32,0.61,30-11,20-21,West,6,1.0156741372038645
Kyle Filipowski,UTA,C,21.0,72.0,27.0,21.1,0.502,0.35,0.65,6.1,1.9,0.7,0.3,1.4,9.6,14.9,0.594,18.7,2.5,0.078,-1.0,0.4,3000000,Utah Jazz,17,65,0.207,10-31,7-34,West,30,0.8333333333333334
Miles McBride,NYK,SG,24.0,64.0,10.0,24.9,0.406,0.369,0.813,2.5,2.9,1.0,0.3,0.6,9.5,12.6,0.531,16.8,3.2,0.098,0.0,0.8,4710144,New York Knicks,51,31,0.622,27-14,24-17,East,5,0.6793847491711507
Jalen Wilson,BRK,PF,24.0,79.0,22.0,25.7,0.397,0.337,0.818,3.4,1.8,0.5,0.1,1.0,9.5,9.5,0.541,16.6,1.9,0.046,-3.9,-1.0,1891857,Brooklyn Nets,26,56,0.317,12-29,14-27,East,25,1.0043042365252766
Nickeil Alexander-Walker,MIN,SG,26.0,82.0,10.0,25.3,0.438,0.381,0.78,3.2,2.7,0.6,0.4,1.2,9.4,11.6,0.579,16.0,4.3,0.099,-0.4,0.8,4312500,Minnesota Timberwolves,49,33,0.598,25-16,24-17,West,10,0.9971014492753623
Cole Anthony,ORL,PG,24.0,67.0,22.0,18.4,0.424,0.353,0.823,3.0,2.9,0.7,0.5,1.5,9.4,14.2,0.531,24.6,2.0,0.078,0.1,0.7,12900000,Orlando Magic,41,41,0.5,22-19,19-22,East,15,0.15503875968992248
Anthony Black,ORL,PG,21.0,78.0,10.0,24.2,0.423,0.318,0.761,2.9,3.1,1.1,0.6,1.8,9.4,11.6,0.521,19.6,2.4,0.061,-1.9,0.0,7607760,Orlando Magic,41,41,0.5,22-19,19-22,East,15,0.315467364901101
Max Strus,CLE,SF,28.0,50.0,37.0,25.5,0.442,0.386,0.824,4.3,3.2,0.5,0.2,1.1,9.4,12.6,0.607,14.7,3.4,0.13,1.3,1.1,15212068,Cleveland Cavaliers,64,18,0.78,34-7,30-11,East,2,0.22350675792403768
Tristan Vukcevic,WAS,C,21.0,35.0,1.0,14.7,0.496,0.373,0.776,3.7,1.1,0.3,0.7,1.2,9.4,17.8,0.608,25.7,0.7,0.069,-0.5,0.2,2424892,Washington Wizards,18,64,0.22,8-32,10-31,East,29,0.2886726501633887
Cam Whitmore,HOU,SF,20.0,51.0,3.0,16.2,0.444,0.355,0.75,3.0,1.0,0.6,0.3,0.9,9.4,15.5,0.549,23.9,1.8,0.106,0.3,0.5,3379080,Houston Rockets,52,30,0.634,29-12,23-17,West,4,0.5326893710714159
Kel'el Ware,MIA,C,20.0,64.0,36.0,22.2,0.554,0.315,0.687,7.4,0.9,0.6,1.1,0.9,9.3,17.4,0.603,17.2,4.1,0.14,-0.1,0.7,4231800,Miami Heat,37,45,0.451,19-22,17-23,East,20,0.9688548608157285
Zach Edey,MEM,C,22.0,66.0,55.0,21.5,0.58,0.346,0.709,8.3,1.0,0.5,1.3,1.3,9.2,18.2,0.624,16.4,4.9,0.165,-0.1,0.7,5756880,Memphis Grizzlies,48,34,0.585,26-15,22-19,West,11,0.8511554869999028
Wendell Carter Jr.,ORL,C,25.0,68.0,51.0,25.9,0.46,0.234,0.737,7.2,2.0,0.8,0.6,1.1,9.1,13.7,0.544,16.0,4.6,0.125,-1.2,0.3,11950000,Orlando Magic,41,41,0.5,22-19,19-22,East,15,0.38493723849372385
Noah Clowney,BRK,PF,20.0,46.0,20.0,22.7,0.358,0.333,0.838,3.9,0.9,0.5,0.5,1.0,9.1,9.2,0.516,19.0,0.5,0.023,-4.1,-0.5,3244080,Brooklyn Nets,26,56,0.317,12-29,14-27,East,25,0.15412690192596978
Dalton Knecht,LAL,SF,23.0,78.0,16.0,19.2,0.461,0.376,0.762,2.8,0.8,0.3,0.1,0.5,9.1,12.7,0.594,18.5,2.7,0.086,-1.8,0.1,3819120,Los Angeles Lakers,50,32,0.61,31-10,19-22,West,6,0.7069691447244392
A.J. Lawson,TOR,SG,24.0,26.0,2.0,18.7,0.421,0.327,0.683,3.3,1.2,0.5,0.2,0.6,9.1,12.7,0.542,20.0,0.8,0.081,-2.5,-0.1,2120693,Toronto Raptors,30,52,0.366,18-23,12-29,East,24,0.3772351773689072
T.J. McConnell,IND,PG,32.0,79.0,1.0,17.9,0.519,0.306,0.74,2.4,4.4,1.1,0.3,1.4,9.1,18.4,0.547,23.4,3.2,0.109,1.2,1.2,9300000,Indiana Pacers,50,32,0.61,29-11,20-20,East,6,0.3440860215053763
Yves Missi,NOP,C,20.0,73.0,67.0,26.8,0.547,0.0,0.623,8.2,1.4,0.5,1.3,1.1,9.1,15.4,0.572,14.3,3.6,0.089,-3.0,-0.5,3202560,New Orleans Pelicans,21,61,0.256,14-27,7-34,West,27,1.1241007194244603
