player_name,team_abbr,pos,age,G,GS,MP,FG%,3P%,FT%,TRB,AST,STL,BLK,TOV,PTS
Herbert Jones,NOP,SF,26.0,20.0,20.0,32.4,0.436,0.306,0.825,3.9,3.3,1.9,0.5,1.8,10.3
De'Anthony Melton,GSW,SG,26.0,6.0,2.0,20.2,0.407,0.371,0.625,3.3,2.8,1.2,0.3,1.7,10.3
Isaiah Joe,OKC,SG,25.0,74.0,16.0,21.7,0.44,0.412,0.821,2.6,1.6,0.6,0.1,0.5,10.2
Tyus Jones,PHO,PG,28.0,81.0,58.0,26.8,0.448,0.414,0.895,2.4,5.3,0.9,0.1,1.1,10.2
Trendon Watford,BRK,PF,24.0,44.0,6.0,20.8,0.469,0.33,0.762,3.6,2.6,0.6,0.3,1.9,10.2
Keion Brooks Jr.,NOP,SF,24.0,14.0,6.0,23.7,0.486,0.326,0.733,4.1,0.9,0.7,0.7,0.9,10.1
Luguentz Dort,OKC,SF,25.0,71.0,71.0,29.2,0.435,0.412,0.717,4.1,1.6,1.1,0.5,0.7,10.1
Justin Edwards,PHI,SF,21.0,44.0,26.0,26.3,0.455,0.363,0.696,3.4,1.6,1.0,0.4,1.1,10.1
Derrick Jones Jr.,LAC,SF,27.0,77.0,55.0,24.3,0.526,0.356,0.703,3.4,0.8,1.0,0.4,0.9,10.1
Ausar Thompson,DET,SF,22.0,59.0,48.0,22.5,0.535,0.224,0.641,5.1,2.3,1.7,0.7,1.4,10.1
Chris Boucher,TOR,PF,32.0,50.0,0.0,17.2,0.492,0.363,0.782,4.5,0.7,0.5,0.5,0.6,10.0
Andrew Nembhard,IND,SG,25.0,65.0,65.0,28.9,0.458,0.291,0.794,3.3,5.0,1.2,0.2,1.7,10.0
Ziaire Williams,BRK,SF,23.0,63.0,45.0,24.5,0.412,0.341,0.821,4.6,1.3,1.0,0.4,1.1,10.0
Julian Champagnie,SAS,SF,23.0,82.0,29.0,23.6,0.415,0.371,0.904,3.9,1.4,0.7,0.4,0.9,9.9
Scotty Pippen Jr.,MEM,PG,24.0,79.0,21.0,21.3,0.48,0.397,0.713,3.3,4.4,1.3,0.4,1.7,9.9
Nick Smith Jr.,CHO,SG,20.0,60.0,27.0,22.8,0.391,0.34,0.935,2.1,2.4,0.3,0.1,1.4,9.9
Bub Carrington,WAS,PG,19.0,82.0,57.0,30.0,0.401,0.339,0.812,4.2,4.4,0.7,0.3,1.7,9.8
Moses Moody,GSW,SG,22.0,74.0,34.0,22.3,0.433,0.374,0.797,2.6,1.3,0.8,0.4,0.7,9.8
Amir Coffey,LAC,SG,27.0,72.0,13.0,24.3,0.471,0.409,0.891,2.2,1.1,0.6,0.1,0.6,9.7
Kyle Filipowski,UTA,C,21.0,72.0,27.0,21.1,0.502,0.35,0.65,6.1,1.9,0.7,0.3,1.4,9.6
Tosan Evbuomwan,BRK,SF,23.0,28.0,0.0,23.8,0.427,0.312,0.753,4.3,2.0,0.9,0.4,1.4,9.5
Miles McBride,NYK,SG,24.0,64.0,10.0,24.9,0.406,0.369,0.813,2.5,2.9,1.0,0.3,0.6,9.5
Jalen Wilson,BRK,PF,24.0,79.0,22.0,25.7,0.397,0.337,0.818,3.4,1.8,0.5,0.1,1.0,9.5
Nickeil Alexander-Walker,MIN,SG,26.0,82.0,10.0,25.3,0.438,0.381,0.78,3.2,2.7,0.6,0.4,1.2,9.4
Cole Anthony,ORL,PG,24.0,67.0,22.0,18.4,0.424,0.353,0.823,3.0,2.9,0.7,0.5,1.5,9.4
Anthony Black,ORL,PG,21.0,78.0,10.0,24.2,0.423,0.318,0.761,2.9,3.1,1.1,0.6,1.8,9.4
Max Strus,CLE,SF,28.0,50.0,37.0,25.5,0.442,0.386,0.824,4.3,3.2,0.5,0.2,1.1,9.4
Tristan Vukcevic,WAS,C,21.0,35.0,1.0,14.7,0.496,0.373,0.776,3.7,1.1,0.3,0.7,1.2,9.4
Cam Whitmore,HOU,SF,20.0,51.0,3.0,16.2,0.444,0.355,0.75,3.0,1.0,0.6,0.3,0.9,9.4
Kel'el Ware,MIA,C,20.0,64.0,36.0,22.2,0.554,0.315,0.687,7.4,0.9,0.6,1.1,0.9,9.3
Zach Edey,MEM,C,22.0,66.0,55.0,21.5,0.58,0.346,0.709,8.3,1.0,0.5,1.3,1.3,9.2
Wendell Carter Jr.,ORL,C,25.0,68.0,51.0,25.9,0.46,0.234,0.737,7.2,2.0,0.8,0.6,1.1,9.1
Noah Clowney,BRK,PF,20.0,46.0,20.0,22.7,0.358,0.333,0.838,3.9,0.9,0.5,0.5,1.0,9.1
Dalton Knecht,LAL,SF,23.0,78.0,16.0,19.2,0.461,0.376,0.762,2.8,0.8,0.3,0.1,0.5,9.1
A.J. Lawson,TOR,SG,24.0,26.0,2.0,18.7,0.421,0.327,0.683,3.3,1.2,0.5,0.2,0.6,9.1
T.J. McConnell,IND,PG,32.0,79.0,1.0,17.9,0.519,0.306,0.74,2.4,4.4,1.1,0.3,1.4,9.1
Yves Missi,NOP,C,20.0,73.0,67.0,26.8,0.547,0.0,0.623,8.2,1.4,0.5,1.3,1.1,9.1
Royce O'Neale,PHO,SF,31.0,75.0,22.0,24.5,0.423,0.406,0.731,4.7,2.2,0.9,0.5,0.9,9.1
Draymond Green,GSW,PF,34.0,68.0,66.0,29.2,0.424,0.325,0.687,6.1,5.6,1.5,1.0,2.6,9.0
Killian Hayes,BRK,PG,23.0,6.0,5.0,27.0,0.419,0.381,0.833,3.0,5.2,0.7,0.7,1.5,9.0
Al Horford,BOS,C,38.0,60.0,42.0,27.7,0.423,0.363,0.895,6.2,2.1,0.6,0.9,0.8,9.0
Julian Strawther,DEN,SG,22.0,65.0,4.0,21.3,0.432,0.349,0.822,2.2,1.3,0.6,0.2,0.9,9.0
Patrick Williams,CHI,PF,23.0,63.0,36.0,25.0,0.397,0.353,0.723,3.8,2.0,0.8,0.5,1.4,9.0
Clint Capela,ATL,C,30.0,55.0,41.0,21.4,0.559,0.0,0.536,8.5,1.1,0.6,1.0,0.9,8.9
Johnny Juzang,UTA,SG,23.0,64.0,18.0,19.8,0.429,0.376,0.849,2.9,1.1,0.6,0.1,0.6,8.9
Luke Kennard,MEM,SG,28.0,65.0,11.0,22.6,0.478,0.433,0.895,2.8,3.3,0.8,0.1,1.1,8.9
Justin Champagnie,WAS,SF,23.0,62.0,31.0,21.6,0.511,0.383,0.685,5.7,1.0,1.0,0.6,0.9,8.8
Svi Mykhailiuk,UTA,SF,27.0,38.0,13.0,20.0,0.391,0.345,0.8,2.4,2.0,0.5,0.2,1.4,8.8
Chris Paul,SAS,PG,39.0,82.0,82.0,28.0,0.427,0.377,0.924,3.6,7.4,1.3,0.3,1.6,8.8
Oshae Brissett,PHI,SF,26.0,6.0,2.0,23.7,0.487,0.333,0.571,3.7,0.7,0.7,0.5,1.3,8.7
Kentavious Caldwell-Pope,ORL,SG,31.0,77.0,77.0,29.6,0.439,0.342,0.863,2.2,1.8,1.3,0.4,0.8,8.7
Isaiah Collier,UTA,PG,20.0,71.0,46.0,25.9,0.422,0.249,0.682,3.3,6.3,0.9,0.2,2.9,8.7
Dante Exum,DAL,PG,29.0,20.0,13.0,18.6,0.478,0.434,0.742,1.7,2.8,0.6,0.2,1.1,8.7
Kyshawn George,WAS,SG,21.0,68.0,38.0,26.5,0.372,0.322,0.753,4.2,2.5,1.0,0.7,1.4,8.7
Jaden Hardy,DAL,SG,22.0,57.0,3.0,15.9,0.435,0.386,0.698,1.6,1.4,0.5,0.1,1.4,8.7
Dereck Lively II,DAL,C,20.0,36.0,29.0,23.1,0.702,,0.63,7.5,2.4,0.6,1.6,1.1,8.7
Tyrese Martin,BRK,SG,25.0,60.0,11.0,21.9,0.406,0.351,0.793,3.7,2.0,0.6,0.2,1.2,8.7
Matas Buzelis,CHI,SF,20.0,80.0,31.0,18.9,0.454,0.361,0.815,3.5,1.0,0.4,0.9,0.9,8.6
Jaime Jaquez Jr.,MIA,SF,23.0,66.0,17.0,20.7,0.461,0.311,0.754,4.4,2.5,0.9,0.2,1.5,8.6
Ja'Kobe Walter,TOR,SG,20.0,52.0,18.0,21.2,0.405,0.349,0.795,3.1,1.6,0.8,0.2,1.0,8.6
Sam Hauser,BOS,PF,27.0,71.0,19.0,21.7,0.451,0.416,1.0,3.2,0.9,0.6,0.2,0.3,8.5
Larry Nance Jr.,ATL,PF,32.0,24.0,3.0,19.3,0.516,0.447,0.692,4.3,1.6,0.8,0.5,0.7,8.5
Jaylen Nowell,NOP,SG,25.0,8.0,0.0,21.0,0.356,0.296,0.636,2.5,2.3,0.1,0.5,1.0,8.4
Cason Wallace,OKC,SG,21.0,68.0,43.0,27.6,0.474,0.356,0.811,3.4,2.5,1.8,0.5,0.9,8.4
Dalano Banton,POR,PG,25.0,67.0,7.0,16.7,0.391,0.324,0.728,2.0,2.4,0.6,0.5,1.3,8.3
Brandon Clarke,MEM,PF,28.0,64.0,18.0,18.9,0.621,0.059,0.701,5.1,1.0,0.8,0.6,0.6,8.3
Keon Ellis,SAC,SG,25.0,80.0,28.0,24.4,0.489,0.433,0.849,2.7,1.5,1.5,0.8,0.9,8.3
Brandon Williams,DAL,PG,25.0,33.0,3.0,14.8,0.521,0.4,0.833,1.8,2.3,0.7,0.2,1.2,8.3
Mike Conley,MIN,PG,37.0,71.0,64.0,24.7,0.4,0.41,0.9,2.6,4.5,1.1,0.2,1.1,8.2
Taurean Prince,MIL,SF,30.0,80.0,73.0,27.1,0.457,0.439,0.813,3.6,1.9,1.0,0.2,1.0,8.2
Jalen Smith,CHI,C,24.0,64.0,2.0,15.0,0.466,0.324,0.809,5.6,1.0,0.3,0.7,0.6,8.2
Quinten Post,GSW,PF,24.0,42.0,14.0,16.3,0.449,0.408,0.778,3.5,1.3,0.4,0.4,0.8,8.1
Peyton Watson,DEN,SF,22.0,68.0,18.0,24.4,0.477,0.353,0.693,3.4,1.4,0.7,1.4,0.8,8.1
Tyson Etienne,BRK,PG,25.0,7.0,0.0,21.6,0.327,0.295,0.8,1.3,1.7,0.4,0.1,1.1,7.9
Day'Ron Sharpe,BRK,C,23.0,50.0,2.0,18.2,0.521,0.244,0.757,6.6,1.8,0.8,0.8,1.3,7.9
KJ Simpson,CHO,PG,22.0,36.0,15.0,23.4,0.346,0.254,0.82,3.0,3.1,0.9,0.2,1.6,7.8
Karlo Matkovic,NOP,PF,23.0,42.0,7.0,18.8,0.574,0.318,0.773,5.0,1.1,0.5,1.0,1.0,7.7
Lonzo Ball,CHI,PG,27.0,35.0,14.0,22.2,0.366,0.344,0.815,3.4,3.3,1.3,0.5,1.2,7.6
Oscar Tshiebwe,UTA,C,25.0,14.0,1.0,18.2,0.6,,0.742,8.7,0.6,0.9,0.1,0.7,7.6
Garrison Mathews,ATL,SG,28.0,47.0,2.0,17.7,0.397,0.39,0.821,1.9,1.3,0.6,0.3,0.7,7.5
Matisse Thybulle,POR,SG,27.0,15.0,5.0,20.8,0.477,0.438,0.467,3.5,1.9,2.2,0.6,0.9,7.5
A.J. Green,MIL,SG,25.0,73.0,7.0,22.7,0.429,0.427,0.815,2.4,1.5,0.5,0.1,0.5,7.4
Josh Green,CHO,SG,24.0,68.0,67.0,27.8,0.428,0.391,0.681,2.5,1.6,1.1,0.2,1.0,7.4
Richaun Holmes,WAS,PF,31.0,31.0,7.0,17.2,0.647,0.0,0.833,5.7,1.4,0.3,0.7,0.7,7.4
Damion Baugh,CHO,SG,24.0,15.0,2.0,24.7,0.323,0.214,0.867,3.3,3.7,1.0,0.1,2.1,7.3
Alec Burks,MIA,SG,33.0,49.0,14.0,17.6,0.424,0.425,0.776,2.5,1.1,0.6,0.1,0.6,7.3
Ricky Council IV,PHI,SF,23.0,73.0,12.0,17.1,0.382,0.258,0.804,2.9,1.3,0.4,0.2,0.7,7.3
Andre Drummond,PHI,C,31.0,40.0,23.0,18.8,0.5,0.15,0.622,7.8,0.9,1.0,0.5,1.4,7.3
Goga Bitadze,ORL,C,25.0,70.0,42.0,20.4,0.611,0.107,0.639,6.6,2.0,0.7,1.4,1.0,7.2
Tristan Da Silva,ORL,SF,23.0,74.0,38.0,22.0,0.412,0.335,0.873,3.3,1.5,0.4,0.2,0.8,7.2
GG Jackson II,MEM,PF,20.0,29.0,3.0,15.8,0.372,0.337,0.725,3.2,1.0,0.4,0.2,1.1,7.2
Vit Krejci,ATL,PG,24.0,57.0,16.0,20.2,0.497,0.437,0.711,2.7,2.6,0.6,0.5,0.9,7.2
Sam Merrill,CLE,SG,28.0,71.0,4.0,19.7,0.406,0.372,0.966,2.2,1.5,0.7,0.2,0.5,7.2
Daeqwon Plowden,ATL,SG,26.0,6.0,0.0,12.0,0.64,0.529,1.0,1.8,0.3,0.0,0.0,0.7,7.2
Nae'Qwan Tomlin,CLE,PF,24.0,5.0,1.0,12.6,0.406,0.2,0.727,4.2,0.4,0.0,0.2,0.4,7.2
Jamison Battle,TOR,SF,23.0,59.0,10.0,17.7,0.429,0.405,0.889,2.7,0.9,0.3,0.2,0.5,7.1
Alex Caruso,OKC,SG,30.0,54.0,3.0,19.3,0.446,0.353,0.824,2.9,2.5,1.6,0.6,0.7,7.1
Jamal Shead,TOR,PG,22.0,75.0,11.0,19.6,0.405,0.323,0.768,1.5,4.2,0.8,0.1,1.6,7.1
Jeff Dowtin Jr.,PHI,PG,27.0,41.0,3.0,15.1,0.487,0.4,0.733,1.5,1.9,0.6,0.3,0.4,7.0
Marcus Garrett,CHO,SG,26.0,4.0,0.0,19.8,0.407,0.375,0.75,1.5,3.3,0.8,0.5,1.5,7.0
Isaiah Jackson,IND,C,23.0,5.0,1.0,16.8,0.609,,0.5,5.6,1.0,0.6,1.6,1.0,7.0
Jaylen Sims,CHO,SG,26.0,6.0,0.0,18.7,0.429,0.4,0.8,1.0,2.0,0.5,0.2,1.3,7.0
Ryan Dunn,PHO,SF,22.0,74.0,44.0,19.1,0.43,0.311,0.487,3.6,0.8,0.6,0.5,0.5,6.9
Jay Huff,MEM,C,26.0,64.0,2.0,11.7,0.515,0.405,0.786,2.0,0.6,0.3,0.9,0.5,6.9
Cameron Payne,NYK,PG,30.0,72.0,5.0,15.1,0.401,0.363,0.907,1.4,2.8,0.5,0.2,0.7,6.9
Antonio Reeves,NOP,SG,24.0,44.0,6.0,15.0,0.456,0.395,0.8,1.4,0.9,0.5,0.1,0.7,6.9
Bol Bol,PHO,PF,25.0,36.0,10.0,12.4,0.525,0.344,0.769,2.9,0.6,0.3,0.7,0.6,6.8
Eric Gordon,PHI,SG,36.0,39.0,13.0,19.7,0.426,0.409,0.75,1.2,1.7,0.7,0.3,0.7,6.8
Jaxson Hayes,LAL,C,24.0,56.0,35.0,19.5,0.722,0.0,0.622,4.8,1.0,0.6,0.9,0.8,6.8
Marcus Bagley,PHI,SF,23.0,10.0,4.0,25.3,0.391,0.156,0.8,7.0,1.0,0.9,1.2,0.7,6.7
DaQuan Jeffries,CHO,SG,27.0,47.0,20.0,22.8,0.405,0.335,0.8,2.9,1.1,0.6,0.5,0.7,6.7
Precious Achiuwa,NYK,C,25.0,57.0,10.0,20.5,0.502,0.278,0.594,5.6,1.0,0.8,0.7,0.8,6.6
Trayce Jackson-Davis,GSW,C,24.0,62.0,37.0,15.6,0.576,0.0,0.578,5.0,1.7,0.4,0.6,0.7,6.6
Marcus Sasser,DET,PG,24.0,57.0,1.0,14.2,0.463,0.382,0.843,1.2,2.3,0.6,0.1,0.9,6.6
Vince Williams Jr.,MEM,SG,24.0,27.0,5.0,18.5,0.401,0.274,0.792,3.6,2.0,0.4,0.3,1.2,6.6
Donovan Clingan,POR,C,20.0,67.0,37.0,19.8,0.539,0.286,0.596,7.9,1.1,0.5,1.6,1.1,6.5
Seth Curry,CHO,SG,34.0,68.0,14.0,15.6,0.478,0.456,0.846,1.7,0.9,0.4,0.1,0.5,6.5
Haywood Highsmith,MIA,SF,28.0,74.0,42.0,24.6,0.458,0.382,0.721,3.4,1.5,0.9,0.5,0.7,6.5
Talen Horton-Tucker,CHI,SG,24.0,58.0,0.0,12.5,0.457,0.336,0.735,1.7,1.4,0.4,0.2,0.7,6.5
Trey Lyles,SAC,PF,29.0,69.0,5.0,19.6,0.42,0.34,0.7,4.6,1.2,0.6,0.3,0.6,6.5
Ajay Mitchell,OKC,SG,22.0,36.0,1.0,16.6,0.495,0.383,0.829,1.9,1.8,0.7,0.1,0.8,6.5
Gary Payton II,GSW,SG,32.0,62.0,11.0,15.0,0.574,0.326,0.711,3.0,1.3,0.8,0.3,0.6,6.5
Kris Dunn,LAC,PG,30.0,74.0,58.0,24.1,0.439,0.335,0.682,3.4,2.8,1.7,0.4,1.0,6.4
Ron Holland,DET,SF,19.0,81.0,2.0,15.6,0.474,0.238,0.754,2.7,1.0,0.6,0.2,0.9,6.4
Gabe Vincent,LAL,PG,28.0,72.0,11.0,21.2,0.4,0.353,0.714,1.3,1.4,0.7,0.2,0.6,6.4
Sandro Mamukelashvili,SAS,PF,25.0,61.0,0.0,11.2,0.502,0.373,0.741,3.1,0.8,0.4,0.3,0.4,6.3
Jeremiah Robinson-Earl,NOP,PF,24.0,66.0,9.0,18.8,0.455,0.341,0.836,4.8,1.3,0.6,0.1,0.8,6.3
Kenrich Williams,OKC,PF,30.0,69.0,7.0,16.4,0.483,0.386,0.718,3.5,1.4,0.6,0.1,0.6,6.3
Jonathan Mogbo,TOR,PF,23.0,63.0,18.0,20.4,0.438,0.243,0.732,4.9,2.3,0.9,0.5,1.1,6.2
Ryan Rollins,MIL,PG,22.0,56.0,19.0,14.6,0.487,0.408,0.8,1.9,1.9,0.8,0.3,0.9,6.2
Dru Smith,MIA,SG,27.0,14.0,1.0,19.1,0.508,0.533,0.75,2.6,1.6,1.5,0.4,1.2,6.2
Isaac Okoro,CLE,SG,24.0,55.0,22.0,19.1,0.464,0.371,0.717,2.4,1.2,0.6,0.3,0.4,6.1
Jarace Walker,IND,PF,21.0,75.0,5.0,15.8,0.472,0.405,0.667,3.1,1.5,0.7,0.3,1.0,6.1
N'Faly Dante,HOU,C,23.0,4.0,0.0,12.8,0.769,,0.8,5.3,0.5,0.3,1.3,0.5,6.0
Mouhamed Gueye,ATL,PF,22.0,33.0,28.0,16.2,0.421,0.259,0.762,4.2,0.8,0.8,1.0,0.5,6.0
Luke Kornet,BOS,C,29.0,73.0,16.0,18.6,0.668,0.0,0.691,5.3,1.6,0.5,1.0,0.4,6.0
Isaiah Mobley,PHI,PF,25.0,1.0,0.0,17.0,0.286,0.333,0.5,4.0,5.0,1.0,1.0,0.0,6.0
Isaiah Stewart,DET,C,23.0,72.0,4.0,19.9,0.559,0.321,0.759,5.5,1.7,0.4,1.4,0.9,6.0
James Wiseman,IND,C,23.0,1.0,0.0,5.0,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0
Isaiah Wong,CHO,SG,24.0,20.0,0.0,13.3,0.39,0.394,0.735,1.6,1.4,0.6,0.0,0.9,6.0
Simone Fontecchio,DET,SF,29.0,75.0,0.0,16.5,0.402,0.335,0.833,2.9,0.9,0.4,0.2,0.7,5.9
Collin Gillespie,PHO,PG,25.0,33.0,9.0,14.0,0.43,0.433,0.864,2.4,2.4,0.6,0.2,0.5,5.9
Tidjane Salaun,CHO,PF,19.0,60.0,10.0,20.7,0.33,0.283,0.713,4.7,1.2,0.5,0.2,1.0,5.9
Jaylin Williams,OKC,PF,22.0,47.0,9.0,16.7,0.439,0.399,0.767,5.6,2.6,0.5,0.6,0.7,5.9
Adem Bona,PHI,C,21.0,58.0,11.0,15.6,0.703,0.0,0.67,4.2,0.5,0.4,1.2,1.1,5.8
Quenton Jackson,IND,PG,26.0,28.0,7.0,13.6,0.475,0.375,0.775,1.6,1.9,0.8,0.2,0.6,5.8
