player_name,team_abbr,PER,TS%,USG%,WS,WS/48,BPM,VORP
Darius Garland,CLE,19.9,0.6,27.2,8.1,0.169,3.1,3.0
Jalen Brunson,NYK,21.6,0.605,29.5,8.3,0.172,3.3,3.1
Jarrett Allen,CLE,22.1,0.724,15.9,11.6,0.243,4.2,3.6
Chris Paul,SAS,14.7,0.58,14.0,5.7,0.12,0.8,1.6
Anfernee Simons,POR,14.9,0.557,24.6,4.2,0.087,-0.1,1.1
Giannis Antetokounmpo,MIL,30.5,0.625,35.2,11.5,0.241,9.5,6.6
Malik Beasley,DET,14.4,0.59,22.5,4.7,0.1,0.8,1.6
Kentavious Caldwell-Pope,ORL,9.9,0.574,12.4,4.6,0.096,-1.4,0.3
Nikola Vucevic,CHI,20.3,0.611,22.4,7.3,0.153,2.6,2.7
Payton Pritchard,BOS,17.6,0.633,19.0,8.6,0.183,3.5,3.2
Kevin Durant,PHO,21.2,0.642,28.7,5.2,0.111,3.2,3.0
Shaedon Sharpe,POR,14.5,0.551,25.1,3.0,0.064,-1.3,0.4
Stephen Curry,GSW,21.5,0.618,29.8,7.9,0.168,6.3,4.8
Jalen Williams,OKC,20.3,0.573,27.5,7.8,0.168,4.0,3.4
Donovan Mitchell,CLE,20.9,0.575,30.9,7.6,0.163,3.7,3.2
Harrison Barnes,SAS,14.9,0.656,15.7,5.6,0.12,0.0,1.2
Julius Randle,MIN,17.5,0.593,25.0,6.2,0.134,1.3,1.8
Amen Thompson,HOU,18.7,0.602,17.5,8.0,0.172,4.1,3.4
Jaren Jackson Jr.,MEM,19.6,0.591,28.1,6.4,0.139,2.3,2.4
Desmond Bane,MEM,17.9,0.6,23.3,6.5,0.142,3.2,2.9
Naz Reid,MIN,15.8,0.577,21.5,5.7,0.125,1.6,2.0
Tyus Jones,PHO,14.5,0.585,16.2,4.4,0.096,0.1,1.1
Myles Turner,IND,16.1,0.612,20.7,4.7,0.104,0.4,1.3
Evan Mobley,CLE,22.3,0.633,23.2,9.0,0.2,4.6,3.6
Taurean Prince,MIL,9.8,0.613,12.5,3.5,0.077,-1.7,0.1
Stephon Castle,SAS,13.7,0.522,26.0,1.1,0.025,-3.2,-0.6
Deni Avdija,POR,17.7,0.605,23.2,5.6,0.124,2.1,2.2
Jaylen Brown,BOS,17.8,0.555,28.9,5.2,0.115,0.0,1.1
Tim Hardaway Jr.,DET,9.8,0.567,15.5,3.5,0.077,-2.1,0.0
Bennedict Mathurin,IND,13.6,0.579,22.8,3.0,0.068,-2.9,-0.5
Spencer Dinwiddie,DAL,13.0,0.553,17.9,3.7,0.082,-1.6,0.2
Scottie Barnes,TOR,17.8,0.523,27.0,3.5,0.078,2.4,2.3
Josh Giddey,CHI,18.1,0.57,21.7,5.3,0.121,3.0,2.7
Fred VanVleet,HOU,12.8,0.515,17.7,5.2,0.119,0.9,1.5
Keyonte George,UTA,12.9,0.539,24.3,1.1,0.024,-2.7,-0.3
Damian Lillard,MIL,21.3,0.621,27.8,7.6,0.175,4.0,3.2
Russell Westbrook,DEN,14.3,0.532,23.8,1.9,0.045,-1.1,0.5
