0,1,2,3
410,"Mo Bamba, C",New Orleans Pelicans,"$2,087,519"
RK,NAME,TEAM,SALARY
411,"Luke Kornet, C",Boston Celtics,"$2,087,519"
412,"Duop Reath, C",Portland Trail Blazers,"$2,048,780"
413,"Jaylin Williams, F",Oklahoma City Thunder,"$2,019,699"
414,"Bryce McGowens, G",Portland Trail Blazers,"$2,019,699"
415,"Jabari Walker, F",Portland Trail Blazers,"$2,019,699"
416,"Josh Minott, F",Minnesota Timberwolves,"$2,019,699"
417,"Andrew Nembhard, G",Indiana Pacers,"$2,019,699"
418,"Jaden Hardy, G",Dallas Mavericks,"$2,019,699"
419,"Caleb Houstan, G",Orlando Magic,"$2,019,693"
420,"JT Thor, F",Washington Wizards,"$1,988,598"
RK,NAME,TEAM,SALARY
421,"Jose Alvarado, G",New Orleans Pelicans,"$1,988,598"
422,"Matt Ryan, F",New York Knicks,"$1,919,558"
423,"Mouhamed Gueye, F",Atlanta Hawks,"$1,891,858"
424,"GG Jackson, F",Memphis Grizzlies,"$1,891,857"
425,"Javon Freeman-Liberty, G",Toronto Raptors,"$1,891,857"
426,"Rayan Rupert, G",Portland Trail Blazers,"$1,891,857"
427,"Sidy Cissoko, G",Portland Trail Blazers,"$1,891,857"
428,"Toumani Camara, F",Portland Trail Blazers,"$1,891,857"
429,"Ricky Council IV, G",Philadelphia 76ers,"$1,891,857"
430,"Maxwell Lewis, F",Brooklyn Nets,"$1,891,857"
RK,NAME,TEAM,SALARY
431,"Jalen Wilson, F",Brooklyn Nets,"$1,891,857"
432,"Leonard Miller, F",Minnesota Timberwolves,"$1,891,857"
433,"Chris Livingston, F",Milwaukee Bucks,"$1,891,857"
434,"Andre Jackson Jr., G",Milwaukee Bucks,"$1,891,857"
435,"Gui Santos, F",Golden State Warriors,"$1,891,857"
436,"Trayce Jackson-Davis, F",Golden State Warriors,"$1,891,857"
437,"Jalen Pickett, G",Denver Nuggets,"$1,891,857"
438,"Hunter Tyson, F",Denver Nuggets,"$1,891,857"
439,"Craig Porter Jr., G",Cleveland Cavaliers,"$1,891,857"
440,"Julian Phillips, F",Chicago Bulls,"$1,891,857"
RK,NAME,TEAM,SALARY
441,"Onuralp Bitim, SF",Chicago Bulls,"$1,891,857"
442,"Jordan Walsh, G",Boston Celtics,"$1,891,857"
443,"Jonathan Mogbo, F",Toronto Raptors,"$1,862,265"
444,"Jamal Shead, G",Toronto Raptors,"$1,862,265"
445,"Johnny Furphy, G",Indiana Pacers,"$1,850,842"
446,"Pacome Dadiet, F",New York Knicks,"$1,808,080"
447,"Justin Champagnie, F",Washington Wizards,"$1,800,000"
448,"Jae Crowder, PF",Sacramento Kings,"$1,655,619"
449,"Paul Reed, F",Detroit Pistons,"$1,427,671"
450,"Karlo Matkovic, F",New Orleans Pelicans,"$1,407,153"
RK,NAME,TEAM,SALARY
451,"Landry Shamet, G",New York Knicks,"$1,343,690"
452,"Bobi Klintman, F",Detroit Pistons,"$1,257,153"
453,"Jaylen Wells, F",Memphis Grizzlies,"$1,157,153"
454,"Oso Ighodaro, F",Phoenix Suns,"$1,157,153"
455,"Adem Bona, C",Philadelphia 76ers,"$1,157,153"
456,"Tyler Smith, F",Milwaukee Bucks,"$1,157,153"
457,"Bronny James, G",Los Angeles Lakers,"$1,157,153"
458,"Cam Christie, G",LA Clippers,"$1,157,153"
459,"Antonio Reeves, G",New Orleans Pelicans,"$1,157,153"
460,"Pelle Larsson, G",Miami Heat,"$1,157,143"
RK,NAME,TEAM,SALARY
461,"Ariel Hukporti, C",New York Knicks,"$1,064,558"
462,"Jordan Miller, G",LA Clippers,"$1,050,000"
463,"Jamison Battle, F",Toronto Raptors,"$1,000,000"
464,"Branden Carlson, C",Oklahoma City Thunder,"$990,895"
465,"Moussa Diabate, F",Charlotte Hornets,"$957,763"
466,"Lonnie Walker IV, G",Philadelphia 76ers,"$780,932"
467,"Ben Simmons, PG",LA Clippers,"$755,826"
468,"Jared Butler, G",Philadelphia 76ers,"$745,726"
469,"Alex Len, C",Los Angeles Lakers,"$743,829"
470,"Markelle Fultz, G",Sacramento Kings,"$731,831"
RK,NAME,TEAM,SALARY
471,"Keshad Johnson, F",Miami Heat,"$724,883"
472,"Tyrese Martin, G",Brooklyn Nets,"$635,853"
473,"Jaden Springer, G",Utah Jazz,"$634,437"
474,"Javonte Green, G",Cleveland Cavaliers,"$599,862"
475,"Brandon Boston, SG",New Orleans Pelicans,"$596,581"
476,"Nate Williams, G",Houston Rockets,"$515,881"
477,"Bismack Biyombo, C",San Antonio Spurs,"$503,884"
478,"Orlando Robinson, C",Toronto Raptors,"$491,887"
479,"Ryan Rollins, G",Milwaukee Bucks,"$491,887"
480,"Dominick Barlow, F",Atlanta Hawks,"$491,887"
RK,NAME,TEAM,SALARY
481,"Quinten Post, C",Golden State Warriors,"$438,920"
482,"Pat Spencer, G",Golden State Warriors,"$438,810"
483,"Jaylen Clark, G",Minnesota Timberwolves,"$429,323"
484,"Justin Edwards, F",Philadelphia 76ers,"$425,619"
485,"Lamar Stevens, F",Memphis Grizzlies,"$383,912"
486,"Tony Bradley, C",Indiana Pacers,"$330,394"
487,"Kevin Knox II, F",Golden State Warriors,"$263,939"
488,"P.J. Tucker, PF",New York Knicks,"$246,833"
489,"Jordan Goodwin, G",Los Angeles Lakers,"$223,718"
490,"Isaac Jones, C",Sacramento Kings,"$152,957"
RK,NAME,TEAM,SALARY
491,"Drew Timme, F",Brooklyn Nets,"$113,055"
RK,NAME,TEAM,SALARY
