0,1,2,3
94,"Collin Sexton, G",Utah Jazz,"$18,350,000"
95,"Josh Hart, G",New York Knicks,"$18,144,000"
96,"Jusuf Nurkic, C",Charlotte Hornets,"$18,125,000"
97,"Harrison Barnes, F",San Antonio Spurs,"$18,000,000"
98,"Malik Monk, G",Sacramento Kings,"$17,405,202"
99,"Bogdan Bogdanovic, G",LA Clippers,"$17,260,000"
100,"Rui Hachimura, F",Los Angeles Lakers,"$17,000,000"
RK,NAME,TEAM,SALARY
101,"Kevin Huerter, G",Chicago Bulls,"$16,830,357"
102,"Zach Collins, F",Chicago Bulls,"$16,741,200"
103,"Caris LeVert, G",Atlanta Hawks,"$16,615,384"
104,"Luguentz Dort, G",Oklahoma City Thunder,"$16,500,000"
105,"Tim Hardaway Jr., G",Detroit Pistons,"$16,193,183"
106,"Davis Bertans, SF",Charlotte Hornets,"$16,000,000"
107,"Klay Thompson, G",Dallas Mavericks,"$15,873,016"
108,"Deni Avdija, F",Portland Trail Blazers,"$15,625,000"
109,"Grayson Allen, G",Phoenix Suns,"$15,625,000"
110,"P.J. Washington, F",Dallas Mavericks,"$15,500,000"
RK,NAME,TEAM,SALARY
111,"Max Strus, G",Cleveland Cavaliers,"$15,212,068"
112,"Isaiah Stewart, F",Detroit Pistons,"$15,000,000"
113,"Dorian Finney-Smith, F",Los Angeles Lakers,"$14,924,168"
114,"Mitchell Robinson, C",New York Knicks,"$14,318,182"
115,"Jordan Clarkson, G",Utah Jazz,"$14,092,577"
116,"Onyeka Okongwu, F",Atlanta Hawks,"$14,000,000"
117,"Naz Reid, C",Minnesota Timberwolves,"$13,986,432"
118,"Cade Cunningham, G",Detroit Pistons,"$13,940,658"
119,"Daniel Gafford, F",Dallas Mavericks,"$13,394,160"
120,"Grant Williams, F",Charlotte Hornets,"$13,025,250"
RK,NAME,TEAM,SALARY
121,"Dennis Schroder, G",Detroit Pistons,"$13,025,250"
122,"Isaiah Joe, G",Oklahoma City Thunder,"$12,991,650"
123,"Austin Reaves, G",Los Angeles Lakers,"$12,976,362"
124,"Herbert Jones, F",New Orleans Pelicans,"$12,976,362"
125,"Obi Toppin, F",Indiana Pacers,"$12,946,429"
126,"Cole Anthony, G",Orlando Magic,"$12,900,000"
127,"De'Anthony Melton, G",Golden State Warriors,"$12,822,000"
128,"Kelly Olynyk, F",New Orleans Pelicans,"$12,804,878"
129,"Victor Wembanyama, F",San Antonio Spurs,"$12,768,960"
130,"Josh Green, G",Charlotte Hornets,"$12,654,321"
RK,NAME,TEAM,SALARY
131,"Devonte' Graham, PG",Portland Trail Blazers,"$12,650,000"
132,"Richaun Holmes, F",Washington Wizards,"$12,648,321"
133,"Steven Adams, C",Houston Rockets,"$12,600,000"
134,"Bobby Portis, F",Milwaukee Bucks,"$12,578,286"
135,"Zaccharie Risacher, F",Atlanta Hawks,"$12,569,040"
136,"Marvin Bagley III, F",Memphis Grizzlies,"$12,500,000"
137,"Brandon Clarke, F",Memphis Grizzlies,"$12,500,000"
138,"Jalen Green, G",Houston Rockets,"$12,483,048"
