rank,player_name,position,team,team_abbr,salary
456,Tyler Smith,F,Milwaukee Bucks,MIL,1157153
457,Bronny James,G,Los Angeles Lakers,LAL,1157153
458,Cam Christie,G,LA Clippers,LAC,1157153
459,Antonio Reeves,G,New Orleans Pelicans,NOP,1157153
460,Pelle Larsson,G,Miami Heat,MIA,1157143
461,Ariel Hukporti,C,New York Knicks,NYK,1064558
462,Jordan Miller,G,LA Clippers,LAC,1050000
463,Jamison Battle,F,Toronto Raptors,TOR,1000000
464,Branden Carlson,C,Oklahoma City Thunder,OKC,990895
465,Moussa Diabate,F,Charlotte Hornets,CHO,957763
466,Lonnie Walker IV,G,Philadelphia 76ers,PHI,780932
467,Ben Simmons,PG,LA Clippers,LAC,755826
468,Jared Butler,G,Philadelphia 76ers,PHI,745726
469,Alex Len,C,Los Angeles Lakers,LAL,743829
470,Markelle Fultz,G,Sacramento Kings,SAC,731831
471,Keshad Johnson,F,Miami Heat,MIA,724883
472,Tyrese Martin,G,Brooklyn Nets,BRK,635853
473,Jaden Springer,G,Utah Jazz,UTA,634437
474,Javonte Green,G,Cleveland Cavaliers,CLE,599862
475,Brandon Boston,SG,New Orleans Pelicans,NOP,596581
476,Nate Williams,G,Houston Rockets,HOU,515881
477,Bismack Biyombo,C,San Antonio Spurs,SAS,503884
478,Orlando Robinson,C,Toronto Raptors,TOR,491887
479,Ryan Rollins,G,Milwaukee Bucks,MIL,491887
480,Dominick Barlow,F,Atlanta Hawks,ATL,491887
481,Quinten Post,C,Golden State Warriors,GSW,438920
482,Pat Spencer,G,Golden State Warriors,GSW,438810
483,Jaylen Clark,G,Minnesota Timberwolves,MIN,429323
484,Justin Edwards,F,Philadelphia 76ers,PHI,425619
485,Lamar Stevens,F,Memphis Grizzlies,MEM,383912
486,Tony Bradley,C,Indiana Pacers,IND,330394
487,Kevin Knox II,F,Golden State Warriors,GSW,263939
488,P.J. Tucker,PF,New York Knicks,NYK,246833
489,Jordan Goodwin,G,Los Angeles Lakers,LAL,223718
490,Isaac Jones,C,Sacramento Kings,SAC,152957
491,Drew Timme,F,Brooklyn Nets,BRK,113055
